Zip,Zip Percentage,Region,City,State,Year, Total Building Count , Total Roof Area (sq meters) , Total Potential Capacity with 10m2 minimum (kW) , Total potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - SMALL , Total Area in lidar (sq meters) - SMALL , Buildings - SMALL with any size available area , Area (sq meters) - SMALL with any size available area , Buildings - SMALL - with 10m2+ available area , Area (sq meters) - SMALL - with 10m2+ available area , Small building potential capacity with 10m2 minimum (kW) , Small building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - MEDIUM , Total Area in lidar (sq meters) - MEDIUM , Buildings - MEDIUM with any size available area , Area (sq meters) - MEDIUM with any size available area , Buildings - MEDIUM with 10m2+ available area , Area (sq meters) - MEDIUM with 10m2+ available area , Medium building potential capacity with 10m2 minimum (kW) , Medium building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - LARGE , Total Area in lidar (sq meters) - LARGE , Buildings - LARGE with any size available area , Area (sq meters) - LARGE with any size available area , Buildings - LARGE - with 10m2+ available area , Area (sq meters) - LARGE - with 10m2+ available area , Large building potential capacity with 10m2 minimum (kW) , Large building potential energy generation with 10m2 minimum (kWh/yr) , Average Building Footprint (sq meters) ,% Buildings in SMALL category,% Area in SMALL category,% Buildings in MEDIUM category,% Area in MEDIUM category,% Buildings in LARGE category,% Area in LARGE category,% Buildings - SMALL,% Area - SMALL,% Buildings - SMALL - 10m2 ,% Area - SMALL - 10m2 ,% Buildings - MEDIUM,% Area - MEDIUM,% Buildings - MEDIUM - 10m2 ,% Area - MEDIUM - 10m2 ,% Buildings - LARGE,% Area - LARGE,% Buildings - LARGE - 10m2 ,% Area - LARGE - 10m2 ,ulocaledesc,2010_PopDens_SqMile,CensusRegion
90275,0.2197912181,LosAngeles,  -   ,CA,2007,"  10,132 ","  2,895,912 ","155,184.12","233,788,470.00","9,421.00","2,372,044.18","9,410.00","1,025,972.19","9,040.00","804,464.59","122,390.00","183,839,000.00",695.00,"457,804.48",695.00,"236,118.26",691.00,"201,220.14","27,853.70","42,296,300.00",16.00,"66,063.78",16.00,"44,763.65",16.00,"42,126.94","4,940.42","7,653,170.00",285.82,93.0%,81.9%,6.9%,15.8%,0.2%,2.3%,99.9%,43.3%,96.0%,33.9%,100.0%,51.6%,99.4%,44.0%,100.0%,67.8%,100.0%,63.8%,City Large,545.3798988,Pacific
90277,1,LosAngeles,  -   ,CA,2007,"  9,512 ","  2,102,965 ","106,592.60","161,786,700.00","8,990.00","1,495,984.31","8,973.00","593,944.10","8,086.00","444,688.58","65,878.30","99,153,900.00",478.00,"417,779.38",478.00,"243,534.68",477.00,"220,585.15","27,641.10","42,422,100.00",44.00,"189,201.39",44.00,"117,885.88",44.00,"109,516.32","13,073.20","20,210,700.00",221.09,94.5%,71.1%,5.0%,19.9%,0.5%,9.0%,99.8%,39.7%,89.9%,29.7%,100.0%,58.3%,99.8%,52.8%,100.0%,62.3%,100.0%,57.9%,Suburb Large,7851.682115,Pacific
90278,1,LosAngeles,  -   ,CA,2007,"  11,571 ","  2,356,589 ","132,270.40","196,589,400.00","11,267.00","1,794,295.42","11,261.00","738,235.70","10,033.00","557,621.04","87,451.20","127,537,000.00",246.00,"199,448.58",246.00,"122,707.57",246.00,"114,397.83","14,417.50","21,925,300.00",58.00,"362,844.53",58.00,"273,124.00",58.00,"262,255.61","30,401.70","47,127,100.00",203.66,97.4%,76.1%,2.1%,8.5%,0.5%,15.4%,99.9%,41.1%,89.0%,31.1%,100.0%,61.5%,100.0%,57.4%,100.0%,75.3%,100.0%,72.3%,Suburb Large,11053.09445,Pacific
90280,1,LosAngeles,  -   ,CA,2007,"  20,931 ","  3,814,048 ","236,682.10","354,167,400.00","20,202.00","2,490,098.09","20,189.00","1,152,313.50","18,301.00","832,406.08","127,041.00","188,521,000.00",600.00,"578,938.39",600.00,"370,454.58",599.00,"341,241.91","43,432.30","65,173,400.00",129.00,"745,011.60",129.00,"579,722.50",129.00,"560,223.39","66,208.80","100,473,000.00",182.22,96.5%,65.3%,2.9%,15.2%,0.6%,19.5%,99.9%,46.3%,90.6%,33.4%,100.0%,64.0%,99.8%,58.9%,100.0%,77.8%,100.0%,75.2%,City Large,12672.32213,Pacific
90291,1,LosAngeles,"Los Angeles, CA",CA,2007,"  9,293 ","  1,472,511 ","67,692.98","103,959,460.00","8,952.00","1,118,665.97","8,918.00","436,438.30","7,369.00","320,673.63","45,399.70","69,528,300.00",327.00,"285,772.59",327.00,"151,491.57",327.00,"134,518.86","16,935.90","26,112,400.00",14.00,"68,072.70",14.00,"48,589.62",14.00,"45,731.48","5,357.38","8,318,760.00",158.45,96.3%,76.0%,3.5%,19.4%,0.2%,4.6%,99.6%,39.0%,82.3%,28.7%,100.0%,53.0%,100.0%,47.1%,100.0%,71.4%,100.0%,67.2%,City Large,10263.58365,Pacific
90292,1,LosAngeles,  -   ,CA,2007,"  2,085 ","  1,062,525 ","62,291.40","96,393,800.00","1,615.00","278,731.76","1,615.00","108,045.40","1,390.00","81,154.95","10,827.30","16,654,500.00",381.00,"372,613.94",381.00,"215,167.50",381.00,"196,245.91","23,721.40","36,661,200.00",89.00,"411,179.75",89.00,"255,767.16",89.00,"236,569.22","27,742.70","43,078,100.00",509.60,77.5%,26.2%,18.3%,35.1%,4.3%,38.7%,100.0%,38.8%,86.1%,29.1%,100.0%,57.7%,100.0%,52.7%,100.0%,62.2%,100.0%,57.5%,City Large,7472.83521,Pacific
90293,1,LosAngeles,"Los Angeles, CA",CA,2007,"  2,265 ","  878,538 ","55,087.50","84,355,200.00","1,968.00","363,920.53","1,966.00","163,578.08","1,838.00","129,563.14","18,089.40","27,473,300.00",259.00,"246,200.12",259.00,"151,206.16",259.00,"139,426.33","16,793.60","25,956,400.00",38.00,"268,417.48",38.00,"177,915.40",38.00,"166,501.93","20,204.50","30,925,500.00",387.88,86.9%,41.4%,11.4%,28.0%,1.7%,30.6%,99.9%,44.9%,93.4%,35.6%,100.0%,61.4%,100.0%,56.6%,100.0%,66.3%,100.0%,62.0%,City Large,2472.142785,Pacific
90301,1,LosAngeles,  -   ,CA,2007,"  6,436 ","  1,698,805 ","110,604.00","168,692,900.00","5,799.00","810,439.66","5,795.00","386,910.40","5,336.00","303,453.49","44,715.90","67,006,200.00",576.00,"524,188.85",576.00,"325,667.26",576.00,"303,153.70","37,590.60","57,790,200.00",61.00,"364,176.31",61.00,"252,116.07",61.00,"239,854.60","28,297.50","43,896,500.00",263.95,90.1%,47.7%,8.9%,30.9%,0.9%,21.4%,99.9%,47.7%,92.0%,37.4%,100.0%,62.1%,100.0%,57.8%,100.0%,69.2%,100.0%,65.9%,Suburb Large,13527.99904,Pacific
90302,1,LosAngeles,  -   ,CA,2007,"  5,222 ","  1,164,732 ","68,368.90","104,452,300.00","4,741.00","650,428.70","4,729.00","277,274.32","4,161.00","209,615.98","30,941.60","46,671,200.00",448.00,"373,388.85",448.00,"221,887.76",448.00,"204,228.47","25,540.20","39,295,600.00",33.00,"140,914.54",33.00,"106,551.04",33.00,"102,361.55","11,887.10","18,485,500.00",223.04,90.8%,55.8%,8.6%,32.1%,0.6%,12.1%,99.7%,42.6%,87.8%,32.2%,100.0%,59.4%,100.0%,54.7%,100.0%,75.6%,100.0%,72.6%,Suburb Large,14512.61508,Pacific
90303,1,LosAngeles,  -   ,CA,2007,"  5,485 ","  1,126,582 ","71,277.01","106,441,300.00","5,324.00","782,778.59","5,321.00","356,218.84","4,963.00","264,797.02","42,134.40","61,699,300.00",129.00,"117,942.41",129.00,"74,365.49",129.00,"69,430.76","8,594.81","13,124,300.00",32.00,"225,860.58",32.00,"180,671.65",32.00,"174,017.89","20,547.80","31,617,700.00",205.39,97.1%,69.5%,2.4%,10.5%,0.6%,20.0%,99.9%,45.5%,93.2%,33.8%,100.0%,63.1%,100.0%,58.9%,100.0%,80.0%,100.0%,77.0%,Suburb Large,12785.57277,Pacific
